City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Ushibuka,32.1906,130.0228,71.04,65,98,6.73,JP,moderate rain
1,Buckeye,33.3703,-112.5838,96.46,24,0,5.75,US,clear sky
2,Safford,32.834,-109.7076,76.12,43,75,26.46,US,broken clouds
3,Talaja,21.35,72.05,81.45,62,48,10.65,IN,scattered clouds
4,Slave Lake,55.2834,-114.769,48.18,71,40,11.5,CA,scattered clouds
5,Magole,-6.3667,37.3667,68.02,87,50,4.16,TZ,scattered clouds
6,Botshabelo,-29.2702,26.7052,58.37,19,44,3.87,ZA,scattered clouds
7,Nisia Floresta,-6.0911,-35.2086,80.98,90,1,6.87,BR,clear sky
8,Gurupi,-11.7292,-49.0686,88.77,23,7,3.02,BR,clear sky
9,Tateyama,34.9833,139.8667,59.09,94,75,13.8,JP,shower rain
10,Ingham,42.6,-84.3833,66.15,58,0,0.0,US,clear sky
11,Raduzhnyy,62.0961,77.475,31.82,88,47,2.39,RU,scattered clouds
12,Abay,49.6311,72.8539,23.38,66,23,3.6,KZ,few clouds
13,Lorengau,-2.0226,147.2712,85.71,68,71,12.97,PG,broken clouds
14,Kokstad,-30.5472,29.4241,61.63,57,69,5.19,ZA,broken clouds
15,Flinders,-34.5833,150.8552,60.39,93,100,5.99,AU,light rain
16,Paracuru,-3.41,-39.0306,80.11,83,12,14.76,BR,few clouds
17,Olafsvik,64.8945,-23.7142,44.42,71,100,10.83,IS,overcast clouds
18,Vila Velha,-20.3297,-40.2925,75.15,88,40,5.75,BR,scattered clouds
19,Hermiston,45.8404,-119.2895,87.82,34,0,9.22,US,clear sky
20,Rognan,67.0953,15.3878,49.05,92,100,8.1,NO,light rain
21,Ruidoso,33.3317,-105.673,62.15,90,93,8.05,US,overcast clouds
22,Valverde Del Camino,37.5751,-6.7543,67.03,59,0,1.97,ES,clear sky
23,Oneida,43.2001,-75.4663,61.02,57,0,8.05,US,clear sky
24,Kailua,21.4022,-157.7394,86.02,81,54,10.78,US,broken clouds
25,Beloha,-25.1667,45.05,67.14,82,0,2.68,MG,clear sky
26,Serik,36.9169,31.0989,71.85,54,6,8.14,TR,clear sky
27,Bonavista,48.6499,-53.1147,54.32,78,26,12.95,CA,scattered clouds
28,Kenora,49.8167,-94.4337,56.37,67,40,3.44,CA,scattered clouds
29,Petropavlovsk-Kamchatskiy,53.0452,158.6483,45.19,49,75,8.95,RU,broken clouds
30,Along,28.1667,94.7667,72.01,99,97,0.18,IN,overcast clouds
31,Roald,62.5833,6.1333,54.75,66,20,24.16,NO,few clouds
